#c_ip:1 s_ip:2 s_port:3 time_init:4 time_fin:5 petition_url:6 mimeType:7 url_dom:8 c_port:9
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/html https://www.bls.gov/
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/bls_home.css 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/bls_combined.css 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/bls_content.css 41430
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/jquery-tools.css 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/bls_tables.css 41428
172.16.1.168 52.85.51.98 443 1542018594181396 1542018655629732 http://bls.gov/ application/javascript https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=DOL&subagency=BLS&yt=true 41348
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ application/javascript https://www.bls.gov/javascripts/mapper.js 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/icons/twitter_bird_icon_white.png 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/buttons/subscribe_button_red_on_red.png 41426
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ application/x-javascript https://www.bls.gov/javascripts/jquery-min.js 41424
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/buttons/search_button_red_on_red.png 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/newyork.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/philadelphia.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/atlanta.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/chicago.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/dallas.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ application/x-javascript https://www.bls.gov/javascripts/bls.js 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ text/css https://www.bls.gov/stylesheets/bls_nr.css 41430
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/kansascity.jpg 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/jpeg https://www.bls.gov/images/layout/homepage/sanfrancisco.jpg 41430
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/icons/twitter.png 41424
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/icons/linkedin.png 41414
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/icons/facebook.png 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/home/feature/2018-11-8-employment-outlook-for-building-americas-infrastructure.png 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/dol/dol_banner_background.png 41424
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/gif https://www.bls.gov/images/layout/bls_125_banner.gif 41414
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/home/feature/2018-10-31-making-it-easier.png 41430
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/gif https://www.bls.gov/images/mega_dropdowns/main_nav_background_on.gif 41414
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/gif https://www.bls.gov/images/mega_dropdowns/main_nav_background.gif 41412
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/mega_dropdowns/drop_down_icon.png 41428
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/png https://www.bls.gov/images/layout/arrows.png 41414
172.16.1.168 23.214.126.172 443 1542018594181396 1542018655629732 http://bls.gov/ image/gif https://www.bls.gov/images/layout/rss.gif 41412
172.16.1.168 172.217.16.238 443 1542018594181396 1542018655629732 http://bls.gov/ text/javascript https://www.google-analytics.com/analytics.js 47222
