#c_ip:1 s_ip:2 s_port:3 time_init:4 time_fin:5 petition_url:6 mimeType:7 url_dom:8 c_port:9
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/html http://www.gnu.org/
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/css http://www.gnu.org/style.es.css 56806
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/png http://www.gnu.org/graphics/heckert_gnu.transp.small.png 56806
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/css http://www.gnu.org/layout.min.css 56788
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/css http://www.gnu.org/reset.css 56780
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/jpeg http://www.gnu.org/distros/screenshots/trisquel8-mate-thumb.jpg 56788
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/jpeg http://www.gnu.org/distros/screenshots/gnome3-thumb.jpg 56800
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/png http://www.gnu.org/feed-icon-10x10.png 56804
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/jpeg http://www.gnu.org/distros/screenshots/guixSD-gnome3-thumb.jpg 56780
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/jpeg http://www.gnu.org/distros/screenshots/gnome3-medium.jpg 56806
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/png http://www.gnu.org/graphics/fs-gang.png 56800
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/css http://www.gnu.org/mini.css 56804
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ image/png http://www.gnu.org/graphics/fsf-logo-notext-small.png 56788
172.16.1.168 208.118.235.148 80 1542018250667446 1542018270043908 http://gnu.org/ text/css http://www.gnu.org/print.min.css 56780
